T E_media/NP C/NP M_media/NP X/NP
0.01 0.00000 0.00000 0.00000 0.00000
0.02 -2.00000 0.00000 1.00000 0.00000
0.03 0.00000 0.00000 0.00000 0.00000
0.04 -2.00000 0.00000 1.00000 0.00000
0.05 0.00000 0.00000 0.00000 0.00000
0.06 -2.00000 0.00000 1.00000 0.00000
0.07 0.00000 0.00000 0.00000 0.00000
0.08 -2.00000 0.00000 1.00000 0.00000
0.09 0.00000 0.00000 0.00000 0.00000
0.10 -2.00000 0.00000 1.00000 0.00000
0.11 0.00000 0.00000 0.00000 0.00000
0.12 -2.00000 0.00000 1.00000 0.00000
0.13 0.00000 0.00000 0.00000 0.00000
0.14 -2.00000 0.00000 1.00000 0.00000
0.15 0.00000 0.00000 0.00000 0.00000
0.16 -2.00000 0.00000 1.00000 0.00000
0.17 0.00000 0.00000 0.00000 0.00000
0.18 -2.00000 0.00000 1.00000 0.00000
0.19 0.00000 0.00000 0.00000 0.00000
0.20 -2.00000 0.00000 1.00000 0.00000
0.21 0.00000 0.00000 0.00000 0.00000
0.22 -2.00000 0.00000 1.00000 0.00000
0.23 0.00000 0.00000 0.00000 0.00000
0.24 -2.00000 0.00000 1.00000 0.00000
0.25 0.00000 0.00000 0.00000 0.00000
0.26 -2.00000 0.00000 1.00000 0.00000
0.27 0.00000 0.00000 0.00000 0.00000
0.28 -2.00000 0.00000 1.00000 0.00000
0.29 0.00000 0.00000 0.00000 0.00000
0.30 -2.00000 0.00000 1.00000 0.00000
0.31 0.00000 0.00000 0.00000 0.00000
0.32 -2.00000 0.00000 1.00000 0.00000
0.33 0.00000 0.00000 0.00000 0.00000
0.34 -2.00000 0.00000 1.00000 0.00000
0.35 0.00000 0.00000 0.00000 0.00000
0.36 -2.00000 0.00000 1.00000 0.00000
0.37 0.00000 0.00000 0.00000 0.00000
0.38 -2.00000 0.00000 1.00000 0.00000
0.39 0.00000 0.00000 0.00000 0.00000
0.40 -2.00000 0.00000 1.00000 0.00000
0.41 0.00000 0.00000 0.00000 0.00000
0.42 -2.00000 0.00000 1.00000 0.00000
0.43 0.00000 0.00000 0.00000 0.00000
0.44 -2.00000 0.00000 1.00000 0.00000
0.45 0.00000 0.00000 0.00000 0.00000
0.46 -2.00000 0.00000 1.00000 0.00000
0.47 0.00000 0.00000 0.00000 0.00000
0.48 -2.00000 0.00000 1.00000 0.00000
0.49 0.00000 0.00000 0.00000 0.00000
0.50 -2.00000 0.00000 1.00000 0.00000
0.51 0.00000 0.00000 0.00000 0.00000
0.52 -2.00000 0.00000 1.00000 0.00000
0.53 0.00000 0.00000 0.00000 0.00000
0.54 -2.00000 0.00000 1.00000 0.00000
0.55 0.00000 0.00000 0.00000 0.00000
0.56 -2.00000 0.00000 1.00000 0.00000
0.57 0.00000 0.00000 0.00000 0.00000
0.58 -2.00000 0.00000 1.00000 0.00000
0.59 0.00000 0.00000 0.00000 0.00000
0.60 -2.00000 0.00000 1.00000 0.00000
0.61 0.00000 0.00000 0.00000 0.00000
0.62 -2.00000 0.00000 1.00000 0.00000
0.63 0.00000 0.00000 0.00000 0.00000
0.64 -2.00000 0.00000 1.00000 0.00000
0.65 0.00000 0.00000 0.00000 0.00000
0.66 -2.00000 0.00000 1.00000 0.00000
0.67 0.00000 0.00000 0.00000 0.00000
0.68 -2.00000 0.00000 1.00000 0.00000
0.69 0.00000 0.00000 0.00000 0.00000
0.70 -1.99920 0.00000 0.99980 0.00000
0.71 0.00000 0.00000 0.00000 0.00000
0.72 -2.00000 0.00000 1.00000 0.00000
0.73 0.00000 0.00000 0.00000 0.00000
0.74 -2.00000 0.00000 1.00000 0.00000
0.75 0.00000 0.00000 0.00000 0.00000
0.76 -2.00000 0.00000 1.00000 0.00000
0.77 0.00000 0.00000 0.00000 0.00000
0.78 -2.00000 0.00000 1.00000 0.00000
0.79 0.00000 0.00000 0.00000 0.00000
0.80 -2.00000 0.00000 1.00000 0.00000
0.81 0.00000 0.00000 0.00000 0.00000
0.82 -1.99920 0.00000 0.99980 0.00000
0.83 0.00000 0.00000 0.00000 0.00000
0.84 -2.00000 0.00000 1.00000 0.00000
0.85 0.00000 0.00000 0.00000 0.00000
0.86 -1.99920 0.00000 0.99980 0.00000
0.87 0.00000 0.00000 0.00000 0.00000
0.88 -1.99720 0.00000 0.99920 0.00000
0.89 0.00000 0.00000 0.00000 0.00000
0.90 -1.99680 0.00000 0.99920 0.00000
0.91 0.00000 0.00000 0.00000 0.00000
0.92 -1.99840 0.00000 0.99960 0.00000
0.93 0.00000 0.00000 0.00000 0.00000
0.94 -1.99680 0.00000 0.99920 0.00000
0.95 0.00000 0.00000 0.00000 0.00000
0.96 -1.99760 0.00000 0.99940 0.00000
0.97 0.00000 0.00000 0.00000 0.00000
0.98 -1.99760 0.00000 0.99940 0.00000
0.99 0.00000 0.00000 0.00000 0.00000
1.00 -1.99720 0.00000 0.99920 0.00000
1.01 0.00000 0.00000 0.00000 0.00000
1.02 -1.99840 0.00000 0.99960 0.00000
1.03 0.00000 0.00000 0.00000 0.00000
1.04 -1.99840 0.00000 0.99960 0.00000
1.05 0.00000 0.00000 0.00000 0.00000
1.06 -1.99680 0.00000 0.99920 0.00000
1.07 0.00000 0.00000 0.00000 0.00000
1.08 -1.99760 0.00000 0.99940 0.00000
1.09 0.00000 0.00000 0.00000 0.00000
1.10 -1.99360 0.00000 0.99840 0.00000
1.11 0.00000 0.00000 0.00000 0.00000
1.12 -1.99120 0.00000 0.99780 0.00000
1.13 0.00000 0.00000 0.00000 0.00000
1.14 -1.99080 0.00000 0.99760 0.00000
1.15 0.00000 0.00000 0.00000 0.00000
1.16 -1.99200 0.00000 0.99800 0.00000
1.17 0.00000 0.00000 0.00000 0.00000
1.18 -1.99040 0.00000 0.99760 0.00000
1.19 0.00000 0.00000 0.00000 0.00000
1.20 -1.98720 0.00000 0.99600 0.00000
1.21 0.00000 0.00000 0.00000 0.00000
1.22 -1.99440 0.00000 0.99860 0.00000
1.23 0.00000 0.00000 0.00000 0.00000
1.24 -1.98320 0.00000 0.99560 0.00000
1.25 0.00000 0.00000 0.00000 0.00000
